,x,y
145,-0.49592093,-2.3107376
146,-0.716978,-1.8375244
147,-1.1732117,-1.1686662
148,-2.0583596,-0.60020924
149,-2.5832362,-0.43012995
150,-3.1247225,-0.07765614
151,-3.1385682,0.11088539
152,-2.9755666,0.5797048
153,-2.6158004,1.1076866
154,-1.9132916,2.1912763
155,-0.9975317,3.5804656
156,-0.08456948,4.313574
157,0.96114355,4.246598
158,2.3242588,3.279704
159,3.31814,1.884868
160,3.6136549,1.0465435
161,4.1983833,0.20284279
162,4.1446953,-0.7003181
163,3.8281062,-1.1055636
164,3.4033413,-1.3955644
165,2.738671,-2.0213273
166,2.069021,-2.5675998
167,1.5640366,-2.687062
168,1.1164265,-2.776938
169,0.6264059,-2.8105316
170,0.39324707,-2.6220586
171,-0.38337842,-2.3487146
172,-1.1601878,-1.9756473
173,-1.5062534,-1.4863104
174,-1.5954179,-0.9827121
175,-2.1710415,-0.4921679
176,-2.6303751,-0.38837954
177,-3.0814638,-0.17934541
178,-3.1684108,0.34734946
179,-2.98362,0.73118687
180,-2.599723,1.3926146
181,-1.9715648,2.3900044
182,-1.3211601,3.5372486
183,-0.15767479,4.4258504
184,0.97733617,4.1525073
185,1.9894507,3.1777477
186,3.0107248,1.6782619
187,3.8478684,0.77150524
188,4.0598383,-0.32549554
189,3.6368458,-0.9666041
190,3.0897117,-1.449043
191,2.7537706,-1.747929
192,2.083673,-1.783238
193,1.3872399,-2.138415
194,0.7601817,-2.4409738
195,0.36579704,-2.642288
196,0.024489336,-2.4534705
197,-0.43014148,-2.3307674
198,-0.7820469,-2.1177454
199,-0.91476274,-1.7729819
200,-1.1809098,-1.3054303
201,-1.4597857,-0.88023114
202,-1.9190303,-0.52620757
203,-2.5892768,-0.37149036
204,-3.0213218,-0.25749293
205,-3.2070355,0.09763984
206,-3.08241,0.44789204
207,-2.6659317,1.4667888
208,-1.6581428,3.0354743
209,-0.33704585,4.279806
210,0.7228718,4.2811627
211,1.953791,3.5321672
212,2.7101038,2.2706573
213,3.385319,1.4714411
214,3.7488043,0.2192665
215,3.594259,-0.9631639
216,3.149991,-1.5003783
217,2.445355,-1.9964854
218,1.7222009,-2.4785454
219,0.89294827,-2.6635249
220,0.15992258,-2.8436015
221,-0.093431816,-2.843553
222,-0.69830775,-2.6659968
223,-1.2560672,-2.2935555
224,-1.5217302,-2.0940766
225,-1.9937996,-1.5005744
226,-1.9494319,-1.3395041
227,-2.2993975,-0.85857767
228,-2.6802652,-0.5293444
229,-3.0361438,-0.30005878
230,-3.2771099,-0.0745856
231,-3.1849768,0.34445342
232,-2.9217954,0.7903349
233,-2.5511775,1.4158789
234,-2.125207,2.315137
235,-1.2875817,3.5680206
236,0.04427753,4.4302387
237,0.8157337,4.1991253
238,1.6795561,3.6049135
239,2.5786884,2.6957276
240,3.423333,1.853179
241,3.879375,0.44989827
242,3.347391,-1.0605856
243,2.6005664,-1.8305866
244,1.8018855,-2.3033547
245,0.7300466,-2.66433
246,0.24459124,-2.7874274
247,-0.43677205,-2.7089121
248,-0.7911152,-2.5490074
249,-1.0613244,-2.296518
250,-1.6348865,-1.9369159
251,-1.75695,-1.7183485
252,-2.1358273,-1.3762721
253,-2.2261581,-0.97230804
254,-2.4445186,-0.5097844
255,-2.7153752,-0.22378016
256,-3.0410676,-0.07864831
257,-3.2043402,0.14204624
258,-3.2805154,0.5083248
259,-3.0749218,0.9945171
260,-2.5186107,1.8898844
261,-2.1000881,2.5545893
262,-1.2540408,3.64484
263,-0.10841726,4.1461673
264,1.0038302,3.715798
265,1.9137447,3.1974626
266,2.8129134,2.5543954
267,3.4027386,1.0821755
268,3.568295,-0.16416137
269,3.343094,-1.0595168
270,2.5976632,-1.8968602
271,1.5791341,-2.532428
272,0.43154514,-2.8086967
273,-0.39932823,-2.7334642
274,-0.7293248,-2.642095
275,-1.4632676,-2.2896793
276,-1.7588859,-2.0592499
277,-2.1273818,-1.5620823
278,-2.3374581,-1.3182782
279,-2.4361203,-1.2182897
280,-2.7880847,-0.85639787
281,-2.9257405,-0.529644
282,-3.0053325,0.41637164
283,-2.9823327,0.8931077
284,-2.7788322,1.1374271
285,-2.4873784,1.3887595
286,-1.8669505,1.9743395
287,-0.9507191,3.0975363
288,-0.18325862,3.6588886
289,0.41194385,3.780888
290,0.69902295,3.5211556
291,1.0818417,2.8556652
292,1.4717808,2.46841
293,2.3531497,2.1103122
294,2.3480198,0.7127426
295,2.0576456,-0.53363514
296,0.7438696,-1.131829
297,0.18111001,-1.6036153
298,-0.5961302,-1.8477093
